artistid,artistname,genre
4pnp4w9g30yLfVIAFnZMRd,ACRAZE,Hip Hop
1c70yCa8sRgIiQxl3HOEFo,Cherish,Hip Hop
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,Pop
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,Hip Hop
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,Pop
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,Pop
3hcs9uc56yIGFCSy9leWe7,Lil Durk,Pop
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,Pop
2kCO8LXN1usaOPL3iEE28I,Tai Verdes,Hip Hop
3ciRvbBIVz9fBoPbtSYq4x,Lil Jon & The East Side Boyz,Pop
4z9vT1dkrovMxFPrEnbkP4,Bohagon,Pop
5einkgXXrjhfYCyac1FANB,Lil Scrappy,Hip Hop
23zg3TcAtWQy7J6upgbUnj,USHER,Pop
3ipn9JLAPI5GUEo4y4jcoi,Ludacris,Pop
3D04N2X2w6vUGeyG94FBaY,Pastor Troy,Hip Hop
5pnbUBPifNnlusY8kTBivi,Jadakiss,Pop
2x8KDZdSONA3872CnhaAlX,Styles P,Hip Hop
0rkDjsewFjH9KqV4jCiEik,Chyna White,Pop
2OqENqJFXPORP4BUGnu2Qq,Youngbloodz,Hip Hop
6cwlhbT6PnscdmUYCLUJsa,Bone Crusher,Pop
7iMvwE8qANp3aIfAGKEAwS,Cam'ron,Hip Hop
1YfEcTuGvBQ8xSD1f53UnK,Busta Rhymes,Pop
4Js9eYwAf9rypNtV8pNSw9,Petey Pablo,Hip Hop
45a6gCQWq61lIUDmr1tKuO,Bun B,Hip Hop
6B16XZWuJ9VERn7pXxCIda,8Ball,Hip Hop
51GnGVvOHfqOBA2ME9nZ1Z,Oobie,Hip Hop
0OMJR0LjjKv21qNvICTgbi,Devin The Dude,Hip Hop
0fbFfVckGKsDbAfYnB5mD1,Mannie Fresh,Pop
15Y1yUEchPPl4w20CLvFyb,Baby Boy Da Prince,Pop
1GeODmmQycY9UqF4MLO94I,Big Kap,Hip Hop
2PJnn4tJWudLd15ps3QbW6,Chyna Whyte,Pop
3LIJJJkO7R5RasRwt7xIn5,Mystikal,Pop
53B8dEQzmtefvkdCAkO0YR,Krayzie Bone,Pop
07VmOvmuBp9G0gb8BTrpn0,Mike Jones,Pop
0k7Xl1pqI3tu8sSEjo5oEg,Paul Wall,Pop
0st5vgzw9XkH5ALJiUM1lE,Slim Thug,Pop
3Odbrr8Ig2eyvaNrc7kOVm,Young Problemz,Pop
7jFaoqWPhYLrKzjzlpXmUO,David Banner,Hip Hop
4Q5sPmM8j4SpMqL4UA1DtS,Lil' Flip,Hip Hop
6AMa1VFQ7qCi61tCRtVWXe,Jim Jones,Hip Hop
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,Hip Hop
23LbwefIODbyGdRbAz3urj,Yung Joc,Hip Hop
7sfl4Xt5KmfyDs2T3SVSMK,Lil Jon,Hip Hop
4f9iBmdUOhQWeP7dcAn1pf,Rag'n'Bone Man,Pop
6veh5zbFpm31XsPdjBgPER,BIA,Pop
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,Hip Hop
1Oa0bMld0A3u5OTYfMzp5h,Nate Dogg,Hip Hop
5Qi4Bb7a8C0a00NZcA77L0,D12,Hip Hop
0huGjMyP507tBCARyzSkrv,Cordae,Pop
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,Pop
7JXCJDLGh1k9cg6JbYCpYl,Flipmode Squad,Pop
1XlLhtgJjC4ROQZilBZAvw,Nic D,Pop
1ShZZUjkbXCjhwrb18BA8I,Bryce Vine,Pop
0jx4hPtb5enLdBDdHKuSgf,Kottonmouth Kings,Hip Hop
5qemOGVyAF9vszpwncpIjU,Ruin Your Day,Hip Hop
573vxT6vzhNRzTVIuVRnLj,Daylyt,Pop
57cZEJjLppvEmppehjqwmI,Illmac,Pop
4vcgrP8o8wqHxQjaIOqQLy,B Dot the God,Pop
6ejeZrClcoftzcVSR18OqI,Geechi Gotti,Hip Hop
0CKa42Jqrc9fSFbDjePaXP,Big K.R.I.T.,Hip Hop
5he5w2lnU9x7JFhnwcekXX,Skrillex,Hip Hop
56mfhUDKa1vec6rSLZV5Eg,Jawsh 685,Hip Hop
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,Hip Hop
5ILgJERmX20rZuVVDQ7z5P,504 Boyz,Hip Hop
5Matrg5du62bXwer29cU5T,Benny The Butcher,Pop
37ASGd4rWpHjuVonnYAN6S,Harry Fraud,Hip Hop
67gqUXxHedeUGDTxwBzdjS,Conway the Machine,Pop
6U3ybJ9UHNKEdsH7ktGBZ7,JID,Pop
3Y7RZ31TRPVadSFVy1o8os,H.E.R.,Pop
5MAp6rMiUJjRLXMWtArXRS,Dorrough Music,Pop
4yBK75WVCQXej1p04GWqxH,Jeezy,Pop
5lHRUCqkQZCIWeX7xG4sYT,Rich Homie Quan,Hip Hop
3q7HBObVc0L8jNeTe5Gofh,50 Cent,Hip Hop
5yCd7bxcAc3MdQ1h54ESsD,Houston,Hip Hop
3s2wTjWxK8NOX09dmsvVOh,Chingy,Hip Hop
0qziYi2GvPoLPnchRMQdxk,I-20,Pop
4fQHCuys7JZvaQzRvB1kPR,Ghost Loft,Hip Hop
1UH80jhsYsFztK0anu2FNS,Zack Fox,Pop
1rHOtdmGNr5vcYNw5v7QGC,Kenny Beats,Pop
6XswoC68grx55in1WQnJ7E,Parliament Funkadelic,Hip Hop
3qBKjEOanahMxlRojwCzhI,Zacari,Pop
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,Pop
0TnOYISbd1XYRBk9myaseg,Pitbull,Hip Hop
085pc2PYOi8bGKj0PNjekA,will.i.am,Hip Hop
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,Hip Hop
59wfkuBoNyhDMQGCljbUbA,Diddy,Pop
2gie1bU1LwnxdFAJoTLjzT,Loon,Hip Hop
6Uh8uJyN9g7oFjDK16nJgb,Juelz Santana,Pop
3aQeKQSyrW4qWr35idm0cy,T-Pain,Hip Hop
12PSlydMSjEHzSCj9X5qv7,Baby Bash,Pop
0z4gvV4rjIZ9wHck67ucSV,Akon,Hip Hop
7LnaAXbDVIL75IVPnndf7w,Jamie Foxx,Pop
41TccBHnkaVhhgCgl83JU8,Kandi Girl,Hip Hop
7BAaznGSsqcksud4R5ou5z,Cory Gunz,Hip Hop
5ndkK3dpZLKtBklKjxNQwT,B.o.B,Pop
14J79DfdiKcztA7WrrpqIP,NITTI,Pop
2ZVEnkCKF0ytNHpj9cLxte,Sean Paul,Hip Hop
0NbfKEOTQCcwd6o7wSDOHI,The Game,Hip Hop
2gBjLmx6zQnFGQJCAQpRgw,Nelly,Hip Hop
07W0YfsvHM7Mw7Bq48Mb0A,Murphy Lee,Hip Hop
7k5N7JJKEPUPQfK8whGITe,Ali,Pop
6kD993mKIytiN9sE6VyRfa,Kyjuan,Hip Hop
4AllEJE7mVkhhyUV6DjqPz,D4L,Hip Hop
0rG0AZBscc8S8q1ahIsasI,JUVENILE,Hip Hop
4HgF4KnohByNElYid7iCNb,Bobby V.,Pop
2zJoKYyLmhvsq3ORbXE7xF,Kidd Kidd,Hip Hop
6GMYJwaziB4ekv1Y6wCDWS,Soulja Boy,Hip Hop
1Zz5UxfKSSqc6hpa3xJPCw,J-Kwon,Hip Hop
0VKTLKamj4IH8OfQbUL0kq,Dem Franchize Boyz,Hip Hop
5Q2iqZJMIZVSTEJWOYh4kP,Peanut,Pop
4FZBzAqTsS12zKdb9Gr2uz,Charlay,Hip Hop
6vbY3hOaCAhC7VjucswgdS,Twista,Pop
1HwM5zlC5qNWhJtM00yXzG,DMX,Hip Hop
0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,Pop
44PA0rCQXikgOWbfY7Fq7m,Ying Yang Twins,Pop
1sPpJhevOYz54gNgeh2LaV,Keak Da Sneak,Hip Hop
5Jz9kKRnCRLTodCH58MyB4,Daz Dillinger,Pop
2BvzbqWWwLN11XGBYgDZzx,Terror Squad,Hip Hop
3ScY9CQxNLQei8Umvpx5g6,Fat Joe,Pop
39mHYiNmLR7p8PXNG8Wll6,Remy Ma,Pop
3RPYHNSwe3w0mtfJwKIN9P,Bubba Sparxxx,Hip Hop
3EtuDyQhDQYISGg1DU5qZj,Mr. Collipark,Pop
6vdMPayKk8YJxxeNP5oMCb,Chamillionaire,Pop
4gpDA7R5796e6zbvZxGNga,Shawnna,Pop
1G9G7WwrXka3Z1r7aIDjI7,Outkast,Hip Hop
6tBnRI3ubWYclKSbGvGtKd,Soulja Slim,Hip Hop
3L2SIGZah4QZSvN4wC8rHl,City Spud,Pop
5YBSzuCs7WaFKNr7Bky0Uf,Olivia,Pop
6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,Pop
4EnEZVjo3w1cwcQYePccay,N.W.A.,Hip Hop
1J2VVASYAamtQ3Bt8wGgA6,Ja Rule,Pop
3ot6fEzKvRrCnWy5BWlnxU,Vita,Pop
7Aq8lpLMSt1Zxu56pe9bmp,Jagged Edge,Pop
5rkVyNGXEgeUqKkB5ccK83,Ashanti,Pop
1W3FSF1BLpY3hlVIgvenLz,The-Dream,Pop
0YWxKQj2Go9CGHCp77UOyy,Fabolous,Hip Hop
50NoVNy9GU1lCrDV8iGpyu,Ol' Dirty Bastard,Hip Hop
0IF46mUS8NXjgHabxk2MCM,Kelis,Pop
4tAhhPPEWcszcMjhYROUvx,Lea,Hip Hop
22282KfMxDo2PMjnBc82I4,Biz Markie,Hip Hop
6nfYGe7IIuuP5bMY1jkJP6,Jermaine Dupri,Hip Hop
3AuMNF8rQAKOzjYppFNAoB,Kelly Rowland,Pop
6roFdX1y5BYSbp60OTJWMd,Tim McGraw,Hip Hop
7urq0VfqxEYEEiZUkebXT4,112,Hip Hop
5NDMothbpdpq2xHqSjrrWn,Faith Evans,Hip Hop
1QPZhx0asYTBxD5RDqfU49,Black Rob,Pop
20N6dS0vq9kMWXUqEkFrBA,Mark Curry,Pop
5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,Pop
1wiBLzTI7z9RUwEpNPdFT6,Mase,Hip Hop
4BIQA9vRkqXEnA2twmq7mU,Mario Winans,Pop
6uothxMWeLWIhsGeF7cyo4,Enya,Pop
5tth2a3v0sWwV1C7bApBdX,Lil' Kim,Hip Hop
0A7g2YbCA9FlyZvAG6VmKP,The LOX,Pop
09A1kpyGbzYAPb8cEvee64,Stevie J,Pop
5aEWnrN8h3MhuFUPRfaVuy,Case,Hip Hop
2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez,Pop
4a7eqaOZbZrEj2J37FzJvl,Caddillac Tah,Hip Hop
2mxe0TnaNL039ysAj51xPQ,R. Kelly,Pop
7B4hKK0S9QYnaoqa9OuwgX,Eazy-E,Pop
1Wfh3Tz3xOB4JjqTk2zT5K,DJ Yella,Pop
4Icvbp9RDt5aY2TWDOVDsr,Afroman,Pop
0AuW7OCyKfFrsMbtHrYgIV,House Of Pain,Pop
34EP7KEpOjXcM2TCat1ISk,Wu-Tang Clan,Hip Hop
4VmEWwd8y9MCLwexFMdpwt,Method Man,Pop
2yQf6b8hxahZaT5dHlWaB1,Raekwon,Pop
4OBbOrkD4geIjOLrICN3wO,Inspectah Deck,Pop
4QTIR7KM0trauXspUNduhh,Buddha Monk,Hip Hop
6O2zJ0tId7g07yzHtX0yap,Mobb Deep,Pop
3CQIn7N5CuRDP8wEI7FiDA,RuD.M.C.,Hip Hop
7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,Pop
3f5fB1YUbkUnW7cf7I0R48,Geto Boys,Pop
1W9qOBYRTfP7HcizWN43G1,Slick Rick,Pop
4iCwCMnqsNZ6atvRiADgtn,RZA,Pop
0G070wUUUBptmqGEKAAUVx,U-God,Pop
6FD0unjzGQhX3b6eMccMJe,Ghostface Killah,Pop
6ns6XAOsw4B0nDUIovAOUO,GZA,Hip Hop
2B4ZHz4QDWJTXPFPgO5peE,Warren G,Pop
20qISvAhX20dpIbOOzGK3q,Nas,Hip Hop
3zNM2tRfTX6LI1lN2PlrTt,Westside Connection,Hip Hop
4P0dddbxPil35MNN9G2MEX,Cypress Hill,Hip Hop
5spEJXLwD1sKUdC2bnOHPg,Bone Thugs-N-Harmony,Pop
26s8LSolLfCIY88ysQbIuT,Three 6 Mafia,Hip Hop
0auu2itHTxEdAMRHvx7CyG,Das EFX,Pop
12mkoe71zJDWs4j0rCeXGR,Lil' Troy,Pop
2MRkO7nyapejkugA9e2OUo,M.C. Mack,Pop
3z3g65U7mmyyBmmDfsQK9x,Luniz,Hip Hop
2FT75iYuWmycqYrXbVD9cn,Michael Marshall,Pop
6evKD5JWJON3qPBJtUEmtY,G-Unit,Pop
50UMTib697JJ44le8DO2Va,Tony Yayo,Hip Hop
4pr7J7wzgObkE3DD3Izi7q,Young Buck,Pop
3vDUJHQtqT3jFRZ2ECXDTi,Lloyd Banks,Hip Hop
3PDMMt0Ip2WHysoAOEAdBq,Ca$his,Pop
31TPClRtHm23RisEBtV3X7,Justin Timberlake,Hip Hop
5Y5TRrQiqgUO4S36tzjIRZ,Timbaland,Hip Hop
6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,Pop
5OrB6Jhhrl9y2PK0pSV4VP,Young Money,Pop
1Xfmvd48oOhEWkscWyEbh9,Lloyd,Hip Hop
6z7xFFHxYkE9t8bwIF0Bvg,Boosie Badazz,Hip Hop
6aIm51fHkokqlJn2vzNTH8,Webbie,Hip Hop
2l6Z31DakUv5Gl9yQPbLEl,Foxx,Pop
3QnIBUOS4mUzs67rZ8r4c9,Lil Phat,Pop
3qnMl4DHT4gndzFAcG4FlM,Kill The Noise,Hip Hop
23rBupd4zSysh9lAzsSFb0,Madsonik,Pop
6jJ0s89eD6GaHleKKya26X,Katy Perry,Pop
0NWbwDZY1VkRqFafuQm6wk,Mike WiLL Made-It,Hip Hop
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,Hip Hop
21E3waRsmPlU7jZsS13rcj,Ne-Yo,Hip Hop
6B5fQU6gKaq7JPRL4YIg1B,Uncle Charlie Wilson,Hip Hop
4tujQJicOnuZRLiBFdp3Ou,Xzibit,Hip Hop
6NyJIFHAePjHR1pFxwisqz,Kurupt,Hip Hop
3np2OYRZAgI4e6lxeGmGr8,Hittman,Hip Hop
4xko5t5site4jVwopoCF21,Six-Two,Pop
1tqhsYv8yBBdwANFNzHtcr,Lil Dicky,Hip Hop
3GMoVpWJy4smKuxFuFTwXC,Roger,Pop
4d3yvTptO48nOYTPBcPFZC,Eve,Pop
4yiQZ8tQPux8cPriYMWUFP,Gwen Stefani,Pop
6mXlDbi03T8wXYwWYew0Ut,Rich Boy,Pop
0gcDAjaKZIKMdYJoIdrIfR,Polow Da Don,Pop
0QJIPDAEDILuo8AIq3pMuU,M.I.A.,Pop
28ExwzUQsvgJooOI0X1mr3,Jay Rock,Pop
4p07QU02SrLsaORo25h2Lg,Sammie,Pop
3EiPgpJshyfFf6EaUP2b4W,Pras Michel,Pop
5280kTRRRWiimaQiKswmlY,Ol' DB,Hip Hop
6lHL3ubAMgSasKjNqKb8HF,Ma,Hip Hop
1GbrJTB56Xs4XQGlmVbaCf,Savage,Pop
3BeKHKMrAmeL5GkGQKNiFX,I-15,Hip Hop
1XkoF8ryArs86LZvFOkbyr,Mary J. Blige,Hip Hop
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,Pop
7fObcBw9VM3x7ntWKCYl0z,Colby O'Donis,Pop
0EmeFodog0BfCgMzAIvKQp,Shakira,Pop
7aBzpmFXB4WWpPl2F7RjBe,Wyclef Jean,Pop
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,Pop
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,Hip Hop
3USpNaxpX1iNqNnQWqg9ob,Mack 10,Pop
5h6zIU8cm6UzAaHsjXmNKl,Ms. Toi,Hip Hop
3pbi8H08p95NUZ7m6ybxUV,Static Major,Hip Hop
0Chxmm4XMM87mJOHvyiUzL,Kevin Rudolf,Pop
2wIVse2owClT7go1WT98tk,Missy Elliott,Hip Hop
2NdeV5rLm47xAvogXrYhJX,Ciara,Hip Hop
15GGbJKqC6w0VYyAJtjej6,Fatman Scoop,Hip Hop
5EvFsr3kj42KNv97ZEnqij,Shaggy,Hip Hop
67wCYxOq4A1ohAs7jWYaOJ,Rik Rok,Hip Hop
7r8RF1tN2A4CiGEplkp1oP,Ginuwine,Pop
7dWYWUbO68rXJOcyA7SpJk,Fort Minor,Hip Hop
5bf6yYgHODBW5EreBZshpX,Styles Of Beyond,Pop
4hB4SmzreXMTGWYj7KQ7QN,Rayvon,Pop
3Isy6kedDrgPYoTS1dazA9,Sean Paul,Hip Hop
3KV3p5EY4AvKxOlhGHORLg,Jeremih,Pop
63wjoROpeh5f11Qm93UiJ1,Keri Hilson,Hip Hop
2jw70GZXlAI8QzWeY2bgRc,Nelly Furtado,Hip Hop
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,Pop
4TLCPR1sMYoNU1jA7O4uww,D.O.E.,Pop
6vytZ677lz4LzCrUDcDokM,Blu Cantrell,Hip Hop
3AA28KZvwAUcZuOKwyblJQ,Gorillaz,Pop
6LqNN22kT3074XbTVUrhzX,Kesha,Hip Hop
7Dnu2NmddNymEI2LMZVH5v,Sleepy Brown,Pop
3sgFRtyBnxXD5ESfmbK4dl,LMFAO,Hip Hop
6ZhjJOJXXwnPS8PrXdmjLw,UGK,Hip Hop
5cMgGlA1xGyeAB2ctYlRdZ,Gang Starr,Pop
